"Survey_Year","hh_categorisation_number","hh_categorisation_description","Food_code","Food_Code_description","ew:Sum(expenditure_*_household_weight)","ew2:Sum(expenditure_squared_*_household_weight_squared)","mw:Sum(members_of_household_*_household_weight)","mw2:(Sum(members_of_household_squared_*_household_weight_squared)","ewmw:Sum(expenditure_*_weighted_number_of_household_members_*_household_weight)","Combined_hh_categorisation_and_food_code","Estimate_of_average_expenditure:0.5*(ew/mw)","calc1:ew2/(ew*ew)","calc2:ewmw/(ew*mw)","calc3:mw2/(mw*mw)","standard_error:estimate_of_average_expenditure_*_(Square_Root(calc1-calc2+calc3)","residual_standard_error:standard_error_*_100/Estimate_of_average_expenditure"
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","14807","Imitatation cream",3459.66,6906352.6116,1849.64,124214.725,81537.9906,"4_14807",0.935225233018317,0.577008096624311,0.0254841041372225,0.0363076938327854,0.717038891636946,76.6701823605418
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15001","Sugar",31579.6,199850971.647,1849.64,124214.725,1593384.3609,"4_15001",8.53668822041046,0.200397830039008,0.0545577827777378,0.0363076938327854,3.64335353343397,42.6787700260979
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15101","Jams and fruit curds",11214.93,21914921.9957,1849.64,124214.725,589450.1537,"4_15101",3.03165210527454,0.174239571655117,0.0568320477848319,0.0363076938327854,1.18860566266672,39.2065323260131
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15201","Marmalade",0,0,1849.64,124214.725,0,"4_15201",0,0,0,0.0363076938327854,0,0
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15301","Syrup, treacle",4041.5,8602572.25,1849.64,124214.725,85724.99,"4_15301",1.09250989381718,0.526675556148875,0.0229354701369134,0.0363076938327854,0.802863050422035,73.4879432182414
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15401","Honey",12661.09,37630556.7475,1849.64,124214.725,1011676.5139,"4_15401",3.42258223221816,0.234746135762065,0.0863999236817129,0.0363076938327854,1.4707306416042,42.9713748806269
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15504","Fresh potatoes not specified elsewhere",43052.38,212808793.8564,1849.64,124214.725,1680186.8613,"4_15504",11.6380430786531,0.114814103865673,0.0421991017081287,0.0363076938327854,3.84095440254996,33.0034386072617
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15505","Fresh new potatoes",5056.32,7981255.5254,1849.64,124214.725,99809.5791,"4_15505",1.3668389524448,0.312177869561682,0.021344228402584,0.0363076938327854,0.781780903441571,57.1962704196597
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","15506","Fresh baking potatoes",10777.07,27622606.2457,1849.64,124214.725,695794.3398,"4_15506",2.91328853182241,0.237828143215453,0.0698108578295862,0.0363076938327854,1.31687402362729,45.2023206504547
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","16201","Fresh cabbages",12880.98,34755040.2528,1849.64,124214.725,541446.0479,"4_16201",3.48202352890292,0.209469108335663,0.0454515888044228,0.0363076938327854,1.55847381006207,44.7577047405277
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","16301","Fresh brussels sprouts",500.34,250340.1156,1849.64,124214.725,16150.9752,"4_16301",0.135253346597176,1,0.0349040894444324,0.0363076938327854,0.135348234408026,100.070155610369
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","16401","Fresh cauliflower",13261.94,16351375.0342,1849.64,124214.725,856075.9448,"4_16401",3.58500573084492,0.0929694286833115,0.069798810566976,0.0363076938327854,0.874317500548562,24.3881758131109
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","16701","Lettuce and leafy salads",12905.51,17806356.7125,1849.64,124214.725,804057.7842,"4_16701",3.48865454899332,0.106911574611083,0.0673681894935657,0.0363076938327854,0.96081295148203,27.5410745887489
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","16702","Prepared lettuce salads",38776.23,134599010.8427,1849.64,124214.725,2307389.5064,"4_16702",10.4821019225363,0.0895180684690637,0.0643425275719136,0.0363076938327854,2.5991224016831,24.795813100186
201819,4,"BLACK/AFRICAN/CARIBBEAN/BLACK BRITISH","16801","Fresh peas",3699.82,4920482.7364,1849.64,124214.725,69842.0536,"4_16801",1.00014597435177,0.359456648722403,0.0204117007098617,0.0363076938327854,0.612749731587609,61.2660298897625
