"Survey_Year","hh_categorisation_number","hh_categorisation_description","Food_code","Food_Code_description","ew:Sum(expenditure_*_household_weight)","ew2:Sum(expenditure_squared_*_household_weight_squared)","mw:Sum(members_of_household_*_household_weight)","mw2:(Sum(members_of_household_squared_*_household_weight_squared)","ewmw:Sum(expenditure_*_weighted_number_of_household_members_*_household_weight)","Combined_hh_categorisation_and_food_code","Estimate_of_average_expenditure:0.5*(ew/mw)","calc1:ew2/(ew*ew)","calc2:ewmw/(ew*mw)","calc3:mw2/(mw*mw)","standard_error:estimate_of_average_expenditure_*_(Square_Root(calc1-calc2+calc3)","residual_standard_error:standard_error_*_100/Estimate_of_average_expenditure"
201819,2,"FULL TIME EMPLOYEE AT WORK","354","Fudges, toffees, caramels",39998.21,154787912.9529,7907.31,355829.4347,1227026.1774,"2_354",2.52919197552644,0.0967511046256763,0.00775915633305603,0.00569094436637878,0.778247177059857,30.7705854118831
201819,2,"FULL TIME EMPLOYEE AT WORK","355","Takeaway confectionery",2888.63,4373931.0049,7907.31,355829.4347,182593.7452,"2_355",0.182655669247823,0.524189229760661,0.0159880393913702,0.00569094436637878,0.130939036747648,71.6862702848788
201819,2,"FULL TIME EMPLOYEE AT WORK","381","Beers",378349.57,7086054674.9735,7907.31,355829.4347,12433727.3875,"2_381",23.924038010398,0.0495014601461005,0.00831207257966872,0.00569094436637878,5.1800007515001,21.6518664167343
201819,2,"FULL TIME EMPLOYEE AT WORK","382","Lagers and continental beers",732446.7,18294824481.986,7907.31,355829.4347,24420412.2804,"2_382",46.3145304787596,0.0341017129151117,0.00843292417555217,0.00569094436637878,8.20169178305644,17.7086795402532
201819,2,"FULL TIME EMPLOYEE AT WORK","383","Ciders and perrys",232001.31,3691886946.9311,7907.31,355829.4347,7240921.1147,"2_383",14.6700527739522,0.0685910607614265,0.00789413609455753,0.00569094436637878,3.77986283644498,25.7658434818749
201819,2,"FULL TIME EMPLOYEE AT WORK","384","Wine and champagne",3555980.23,881468950312.477,7907.31,355829.4347,138696688.1588,"2_384",224.853978786718,0.0697089182476727,0.00986524745957283,0.00569094436637878,57.5620103864495,25.5997295209302
201819,2,"FULL TIME EMPLOYEE AT WORK","385","Spirits with mixer",71216.78,898826682.577,7907.31,355829.4347,3726478.9461,"2_385",4.50322423175518,0.177219411188755,0.0132348056654672,0.00569094436637878,1.85495426057386,41.1916921101412
201819,2,"FULL TIME EMPLOYEE AT WORK","386","Fortified wines",229211.41,10236257578.7133,7907.31,355829.4347,8949881.281,"2_386",14.4936400621703,0.194835791521896,0.00987602708029056,0.00569094436637878,6.32844024744423,43.6635670562981
201819,2,"FULL TIME EMPLOYEE AT WORK","387","Spirits",903784.64,32810498426.0238,7907.31,355829.4347,31198466.3564,"2_387",57.1486788806813,0.0401682503891569,0.00873111120804378,0.00569094436637878,11.0117783592985,19.2686490308719
201819,2,"FULL TIME EMPLOYEE AT WORK","388","Liqueurs and cocktails",191073.33,3087049579.3473,7907.31,355829.4347,5439946.9842,"2_388",12.0820689969155,0.0845558110307923,0.00720104997791993,0.00569094436637878,3.48176857151642,28.8176517813737
